年分,月份,縣市別,鄉鎮別,性別,戶數,人口數
113,1,屏東縣,潮州鎮,男,20897,26369
113,1,屏東縣,潮州鎮,女,20897,26979
113,1,屏東縣,東港鎮,男,17685,23067
113,1,屏東縣,東港鎮,女,17685,22911
113,1,屏東縣,恆春鎮,男,12084,15074
113,1,屏東縣,恆春鎮,女,12084,14649
113,1,屏東縣,萬丹鄉,男,16170,25434
113,1,屏東縣,萬丹鄉,女,16170,23824
113,1,屏東縣,長治鄉,男,10825,15034
113,1,屏東縣,長治鄉,女,10825,14146
113,1,屏東縣,麟洛鄉,男,4085,5411
113,1,屏東縣,麟洛鄉,女,4085,5156
113,1,屏東縣,九如鄉,男,7561,11058
113,1,屏東縣,九如鄉,女,7561,10561
113,1,屏東縣,里港鄉,男,8526,12912
113,1,屏東縣,里港鄉,女,8526,12701
113,1,屏東縣,鹽埔鄉,男,8056,12408
113,1,屏東縣,鹽埔鄉,女,8056,11534
113,1,屏東縣,高樹鄉,男,9039,11991
113,1,屏東縣,高樹鄉,女,9039,10723
113,1,屏東縣,萬巒鄉,男,6644,10029
113,1,屏東縣,萬巒鄉,女,6644,9203
113,1,屏東縣,內埔鄉,男,19655,26872
113,1,屏東縣,內埔鄉,女,19655,25618
113,1,屏東縣,竹田鄉,男,5691,8376
113,1,屏東縣,竹田鄉,女,5691,7419
113,1,屏東縣,新埤鄉,男,3473,4938
113,1,屏東縣,新埤鄉,女,3473,4391
113,1,屏東縣,枋寮鄉,男,8740,11762
113,1,屏東縣,枋寮鄉,女,8740,10996
113,1,屏東縣,新園鄉,男,12001,16909
113,1,屏東縣,新園鄉,女,12001,15729
113,1,屏東縣,崁頂鄉,男,4669,7631
113,1,屏東縣,崁頂鄉,女,4669,7603
113,1,屏東縣,林邊鄉,男,6568,8349
113,1,屏東縣,林邊鄉,女,6568,8066
113,1,屏東縣,南州鄉,男,3823,5017
113,1,屏東縣,南州鄉,女,3823,4843
113,1,屏東縣,佳冬鄉,男,6957,9186
113,1,屏東縣,佳冬鄉,女,6957,8673
113,1,屏東縣,琉球鄉,男,4980,6648
113,1,屏東縣,琉球鄉,女,4980,5617
113,1,屏東縣,車城鄉,男,3539,4295
113,1,屏東縣,車城鄉,女,3539,3724
113,1,屏東縣,滿州鄉,男,2995,3896
113,1,屏東縣,滿州鄉,女,2995,3316
113,1,屏東縣,枋山鄉,男,2009,2603
113,1,屏東縣,枋山鄉,女,2009,2408
113,1,屏東縣,三地門鄉,男,2434,3869
113,1,屏東縣,三地門鄉,女,2434,3862
113,1,屏東縣,霧臺鄉,男,1113,1664
113,1,屏東縣,霧臺鄉,女,1113,1599
113,1,屏東縣,瑪家鄉,男,2180,3377
113,1,屏東縣,瑪家鄉,女,2180,3365
113,1,屏東縣,泰武鄉,男,1479,2723
113,1,屏東縣,泰武鄉,女,1479,2571
113,1,屏東縣,來義鄉,男,2321,3680
113,1,屏東縣,來義鄉,女,2321,3697
113,1,屏東縣,春日鄉,男,1487,2468
113,1,屏東縣,春日鄉,女,1487,2410
113,1,屏東縣,獅子鄉,男,1632,2448
113,1,屏東縣,獅子鄉,女,1632,2323
113,1,屏東縣,牡丹鄉,男,2051,2366
113,1,屏東縣,牡丹鄉,女,2051,2389
113,1,臺東縣,總計,男,84670,107823
113,1,臺東縣,總計,女,84670,103534
113,1,臺東縣,臺東市,男,41233,51036
113,1,臺東縣,臺東市,女,41233,52249
113,1,臺東縣,成功鎮,男,5384,6857
113,1,臺東縣,成功鎮,女,5384,6200
113,1,臺東縣,關山鎮,男,3173,4130
113,1,臺東縣,關山鎮,女,3173,3909
113,1,臺東縣,卑南鄉,男,6881,8685
113,1,臺東縣,卑南鄉,女,6881,7915
113,1,臺東縣,大武鄉,男,2474,2906
113,1,臺東縣,大武鄉,女,2474,2645
113,1,臺東縣,太麻里鄉,男,4837,5633
113,1,臺東縣,太麻里鄉,女,4837,5033
113,1,臺東縣,東河鄉,男,3612,4288
113,1,臺東縣,東河鄉,女,3612,3603
113,1,臺東縣,長濱鄉,男,2881,3693
113,1,臺東縣,長濱鄉,女,2881,2945
113,1,臺東縣,鹿野鄉,男,2988,3764
113,1,臺東縣,鹿野鄉,女,2988,3397
113,1,臺東縣,池上鄉,男,3143,4010
113,1,臺東縣,池上鄉,女,3143,3824
113,1,臺東縣,綠島鄉,男,1254,2345
113,1,臺東縣,綠島鄉,女,1254,2023
113,1,臺東縣,延平鄉,男,1074,1854
113,1,臺東縣,延平鄉,女,1074,1706
113,1,臺東縣,海端鄉,男,1096,2244
113,1,臺東縣,海端鄉,女,1096,2024
113,1,臺東縣,達仁鄉,男,1437,1853
113,1,臺東縣,達仁鄉,女,1437,1570
113,1,臺東縣,金峰鄉,男,1214,1874
113,1,臺東縣,金峰鄉,女,1214,1847
113,1,臺東縣,蘭嶼鄉,男,1989,2651
113,1,臺東縣,蘭嶼鄉,女,1989,2644
113,1,花蓮縣,總計,男,128892,159527
113,1,花蓮縣,總計,女,128892,157725
113,1,花蓮縣,花蓮市,男,41948,47393
113,1,花蓮縣,花蓮市,女,41948,51588
113,1,花蓮縣,鳳林鎮,男,4334,5381
113,1,花蓮縣,鳳林鎮,女,4334,5024
113,1,花蓮縣,玉里鎮,男,8845,11560
113,1,花蓮縣,玉里鎮,女,8845,10432
113,1,花蓮縣,新城鄉,男,8405,10283
113,1,花蓮縣,新城鄉,女,8405,10009
113,1,花蓮縣,吉安鄉,男,33571,41353
113,1,花蓮縣,吉安鄉,女,33571,41848
113,1,花蓮縣,壽豐鄉,男,7386,8956
113,1,花蓮縣,壽豐鄉,女,7386,7955
113,1,花蓮縣,光復鄉,男,4925,6194
113,1,花蓮縣,光復鄉,女,4925,5519
113,1,花蓮縣,豐濱鄉,男,1677,2352
113,1,花蓮縣,豐濱鄉,女,1677,1851
113,1,花蓮縣,瑞穗鄉,男,4713,5749
113,1,花蓮縣,瑞穗鄉,女,4713,5000
113,1,花蓮縣,富里鄉,男,4003,5151
113,1,花蓮縣,富里鄉,女,4003,4451
113,1,花蓮縣,秀林鄉,男,5234,8746
113,1,花蓮縣,秀林鄉,女,5234,8413
113,1,花蓮縣,萬榮鄉,男,2120,3190
113,1,花蓮縣,萬榮鄉,女,2120,2892
113,1,花蓮縣,卓溪鄉,男,1731,3219
113,1,花蓮縣,卓溪鄉,女,1731,2743
113,1,澎湖縣,總計,男,43287,55183
113,1,澎湖縣,總計,女,43287,52562
113,1,澎湖縣,馬公市,男,26417,32424
113,1,澎湖縣,馬公市,女,26417,31538
113,1,澎湖縣,湖西鄉,男,6513,8426
113,1,澎湖縣,湖西鄉,女,6513,7645
113,1,澎湖縣,白沙鄉,男,3661,5178
113,1,澎湖縣,白沙鄉,女,3661,4913
113,1,澎湖縣,西嶼鄉,男,3136,4229
113,1,澎湖縣,西嶼鄉,女,3136,4054
113,1,澎湖縣,望安鄉,男,2040,2923
113,1,澎湖縣,望安鄉,女,2040,2487
113,1,澎湖縣,七美鄉,男,1520,2003
113,1,澎湖縣,七美鄉,女,1520,1925
113,1,基隆市,總計,男,159314,180017
113,1,基隆市,總計,女,159314,182077
113,1,基隆市,中正區,男,23664,25540
113,1,基隆市,中正區,女,23664,25081
113,1,基隆市,七堵區,男,22355,26333
113,1,基隆市,七堵區,女,22355,26405
113,1,基隆市,暖暖區,男,16472,19137
113,1,基隆市,暖暖區,女,16472,19290
113,1,基隆市,仁愛區,男,18920,20187
113,1,基隆市,仁愛區,女,18920,20935
113,1,基隆市,中山區,男,19847,22965
113,1,基隆市,中山區,女,19847,22455
113,1,基隆市,安樂區,男,34655,39580
113,1,基隆市,安樂區,女,34655,40834
113,1,基隆市,信義區,男,23401,26275
113,1,基隆市,信義區,女,23401,27077
113,1,新竹市,總計,男,179509,225291
113,1,新竹市,總計,女,179509,231244
113,1,新竹市,東　區,男,87750,110420
113,1,新竹市,東　區,女,87750,113515
113,1,新竹市,北　區,男,62231,74939
113,1,新竹市,北　區,女,62231,78804
113,1,新竹市,香山區,男,29528,39932
113,1,新竹市,香山區,女,29528,38925
113,1,嘉義市,總計,男,103376,126531
113,1,嘉義市,總計,女,103376,136838
113,1,嘉義市,東　區,男,46630,56141
113,1,嘉義市,東　區,女,46630,61769
113,1,嘉義市,西　區,男,56746,70390
113,1,嘉義市,西　區,女,56746,75069
113,1,金門縣,總計,男,43855,71559
113,1,金門縣,總計,女,43855,72614
113,1,金門縣,金城鎮,男,13407,21466
113,1,金門縣,金城鎮,女,13407,21735
113,1,金門縣,金湖鎮,男,9894,15538
113,1,金門縣,金湖鎮,女,9894,15727
113,1,金門縣,金沙鎮,男,6691,10231
113,1,金門縣,金沙鎮,女,6691,10616
113,1,金門縣,金寧鄉,男,10442,17687
113,1,金門縣,金寧鄉,女,10442,17767
113,1,金門縣,烈嶼鄉,男,3289,6298
113,1,金門縣,烈嶼鄉,女,3289,6448
113,1,金門縣,烏坵鄉,男,132,339
113,1,金門縣,烏坵鄉,女,132,321
113,1,連江縣,總計,男,3713,8081
113,1,連江縣,總計,女,3713,5953
113,1,連江縣,南竿鄉,男,2080,4380
113,1,連江縣,南竿鄉,女,2080,3452
113,1,連江縣,北竿鄉,男,928,1779
113,1,連江縣,北竿鄉,女,928,1337
113,1,連江縣,莒光鄉,男,343,942
113,1,連江縣,莒光鄉,女,343,566
113,1,連江縣,東引鄉,男,362,980
113,1,連江縣,東引鄉,女,362,598
113,2,新北市,總計,男,1674943,1965651
113,2,新北市,總計,女,1674943,2076844
113,2,新北市,板橋區,男,225689,268307
113,2,新北市,板橋區,女,225689,285927
113,2,新北市,三重區,男,161228,187072
113,2,新北市,三重區,女,161228,195861
113,2,新北市,中和區,男,173820,195585
113,2,新北市,中和區,女,173820,211389
113,2,新北市,永和區,男,92575,101295
113,2,新北市,永和區,女,92575,113389
113,2,新北市,新莊區,男,167897,205463
113,2,新北市,新莊區,女,167897,218212
113,2,新北市,新店區,男,135268,145714
113,2,新北市,新店區,女,135268,159590
113,2,新北市,樹林區,男,68696,89547
113,2,新北市,樹林區,女,68696,90869
113,2,新北市,鶯歌區,男,34166,44540
113,2,新北市,鶯歌區,女,34166,44544
113,2,新北市,三峽區,男,45616,57521
113,2,新北市,三峽區,女,45616,58043
113,2,新北市,淡水區,男,91617,93010
113,2,新北市,淡水區,女,91617,102463
113,2,新北市,汐止區,男,95229,101711
113,2,新北市,汐止區,女,95229,107910
113,2,新北市,瑞芳區,男,15967,18657
113,2,新北市,瑞芳區,女,15967,18369
113,2,新北市,土城區,男,94746,117809
113,2,新北市,土城區,女,94746,123228
113,2,新北市,蘆洲區,男,75359,97577
113,2,新北市,蘆洲區,女,75359,102316
113,2,新北市,五股區,男,37679,46318
113,2,新北市,五股區,女,37679,46574
113,2,新北市,泰山區,男,29960,38185
113,2,新北市,泰山區,女,29960,39386
113,2,新北市,林口區,男,55194,64743
113,2,新北市,林口區,女,55194,68894
113,2,新北市,深坑區,男,10016,11768
113,2,新北市,深坑區,女,10016,11918
113,2,新北市,石碇區,男,3322,3890
113,2,新北市,石碇區,女,3322,3236
113,2,新北市,坪林區,男,2560,3478
113,2,新北市,坪林區,女,2560,2960
113,2,新北市,三芝區,男,9780,11373
113,2,新北市,三芝區,女,9780,10726
113,2,新北市,石門區,男,4246,5577
113,2,新北市,石門區,女,4246,5122
113,2,新北市,八里區,男,17624,20860
113,2,新北市,八里區,女,17624,21132
113,2,新北市,平溪區,男,2142,2314
113,2,新北市,平溪區,女,2142,1806
113,2,新北市,雙溪區,男,3557,4296
113,2,新北市,雙溪區,女,3557,3580
113,2,新北市,貢寮區,男,4250,5571
113,2,新北市,貢寮區,女,4250,5375
113,2,新北市,金山區,男,7276,10033
113,2,新北市,金山區,女,7276,10298
113,2,新北市,萬里區,男,7572,10348
113,2,新北市,萬里區,女,7572,10471
113,2,新北市,烏來區,男,1892,3089
113,2,新北市,烏來區,女,1892,3256
113,2,臺北市,總計,男,1065028,1185840
113,2,臺北市,總計,女,1065028,1324637
113,2,臺北市,松山區,男,80519,90011
113,2,臺北市,松山區,女,80519,103511
113,2,臺北市,信義區,男,89329,97252
113,2,臺北市,信義區,女,89329,109252
113,2,臺北市,大安區,男,119963,135039
113,2,臺北市,大安區,女,119963,156682
113,2,臺北市,中山區,男,101099,99275
113,2,臺北市,中山區,女,101099,116971
113,2,臺北市,中正區,男,65510,70849
113,2,臺北市,中正區,女,65510,79313
113,2,臺北市,大同區,男,53232,57463
113,2,臺北市,大同區,女,53232,62456
113,2,臺北市,萬華區,男,79433,83889
113,2,臺北市,萬華區,女,79433,89367
113,2,臺北市,文山區,男,108684,123559
113,2,臺北市,文山區,女,108684,136669
113,2,臺北市,南港區,男,48276,54951
113,2,臺北市,南港區,女,48276,58924
113,2,臺北市,內湖區,男,111509,130572
113,2,臺北市,內湖區,女,111509,145559
113,2,臺北市,士林區,男,108183,127628
113,2,臺北市,士林區,女,108183,139052
113,2,臺北市,北投區,男,99291,115352
113,2,臺北市,北投區,女,99291,126881
113,2,桃園市,總計,男,906496,1143882
113,2,桃園市,總計,女,906496,1176239
113,2,桃園市,桃園區,男,191548,226646
113,2,桃園市,桃園區,女,191548,244873
113,2,桃園市,中壢區,男,173045,210581
113,2,桃園市,中壢區,女,173045,221286
113,2,桃園市,大溪區,男,35403,47878
113,2,桃園市,大溪區,女,35403,46703
113,2,桃園市,楊梅區,男,67541,89865
113,2,桃園市,楊梅區,女,67541,90273
113,2,桃園市,蘆竹區,男,64036,83465
113,2,桃園市,蘆竹區,女,64036,85750
113,2,桃園市,大園區,男,33699,43912
113,2,桃園市,大園區,女,33699,42781
113,2,桃園市,龜山區,男,76668,88226
113,2,桃園市,龜山區,女,76668,90676
113,2,桃園市,八德區,男,81810,105814
113,2,桃園市,八德區,女,81810,107954
113,2,桃園市,龍潭區,男,47197,62815
113,2,桃園市,龍潭區,女,47197,63832
113,2,桃園市,平鎮區,男,84903,113241
113,2,桃園市,平鎮區,女,84903,116424
113,2,桃園市,新屋區,男,18194,26029
113,2,桃園市,新屋區,女,18194,23192
113,2,桃園市,觀音區,男,28452,38491
113,2,桃園市,觀音區,女,28452,36204
113,2,桃園市,復興區,男,4000,6919
113,2,桃園市,復興區,女,4000,6291
113,2,臺中市,總計,男,1063570,1392559
113,2,臺中市,總計,女,1063570,1455811
113,2,臺中市,中　區,男,8251,8734
113,2,臺中市,中　區,女,8251,9099
113,2,臺中市,東　區,男,30839,37881
113,2,臺中市,東　區,女,30839,39106
113,2,臺中市,南　區,男,52287,60509
113,2,臺中市,南　區,女,52287,66506
113,2,臺中市,西　區,男,47437,53505
113,2,臺中市,西　區,女,47437,60257
113,2,臺中市,北　區,男,62319,68266
113,2,臺中市,北　區,女,62319,75713
113,2,臺中市,西屯區,男,95335,112267
113,2,臺中市,西屯區,女,95335,123493
113,2,臺中市,南屯區,男,72347,86648
113,2,臺中市,南屯區,女,72347,95904
113,2,臺中市,北屯區,男,121225,144936
113,2,臺中市,北屯區,女,121225,160424
113,2,臺中市,豐原區,男,56741,80470
113,2,臺中市,豐原區,女,56741,83399
113,2,臺中市,東勢區,男,17636,24087
113,2,臺中市,東勢區,女,17636,23253
113,2,臺中市,大甲區,男,24717,37361
113,2,臺中市,大甲區,女,24717,37325
113,2,臺中市,清水區,男,32271,45774
113,2,臺中市,清水區,女,32271,44128
113,2,臺中市,沙鹿區,男,34277,49549
113,2,臺中市,沙鹿區,女,34277,49461
113,2,臺中市,梧棲區,男,20913,30638
113,2,臺中市,梧棲區,女,20913,30621
113,2,臺中市,后里區,男,17420,26869
113,2,臺中市,后里區,女,17420,26670
113,2,臺中市,神岡區,男,20814,32730
113,2,臺中市,神岡區,女,20814,31576
113,2,臺中市,潭子區,男,38785,53624
113,2,臺中市,潭子區,女,38785,55387
113,2,臺中市,大雅區,男,31746,47443
113,2,臺中市,大雅區,女,31746,48235
113,2,臺中市,新社區,男,7890,11882
113,2,臺中市,新社區,女,7890,11159
113,2,臺中市,石岡區,男,4945,7253
113,2,臺中市,石岡區,女,4945,6825
113,2,臺中市,外埔區,男,10220,15893
113,2,臺中市,外埔區,女,10220,15196
113,2,臺中市,大安區,男,5740,9473
113,2,臺中市,大安區,女,5740,8537
113,2,臺中市,烏日區,男,30061,39860
113,2,臺中市,烏日區,女,30061,40508
113,2,臺中市,大肚區,男,19142,28430
113,2,臺中市,大肚區,女,19142,27487
113,2,臺中市,龍井區,男,25973,39350
113,2,臺中市,龍井區,女,25973,39126
113,2,臺中市,霧峰區,男,21495,32213
113,2,臺中市,霧峰區,女,21495,31543
113,2,臺中市,太平區,男,72470,97603
113,2,臺中市,太平區,女,72470,100870
113,2,臺中市,大里區,男,75542,103573
113,2,臺中市,大里區,女,75542,108960
113,2,臺中市,和平區,男,4732,5738
113,2,臺中市,和平區,女,4732,5043
113,2,臺南市,總計,男,728422,923060
113,2,臺南市,總計,女,728422,936846
113,2,臺南市,新營區,男,30148,36820
113,2,臺南市,新營區,女,30148,38139
113,2,臺南市,鹽水區,男,10171,12586
113,2,臺南市,鹽水區,女,10171,11612
113,2,臺南市,白河區,男,10531,13436
113,2,臺南市,白河區,女,10531,12375
113,2,臺南市,柳營區,男,8075,10551
113,2,臺南市,柳營區,女,8075,9699
113,2,臺南市,後壁區,男,8705,11115
113,2,臺南市,後壁區,女,8705,10440
113,2,臺南市,東山區,男,8039,10176
113,2,臺南市,東山區,女,8039,8896
113,2,臺南市,麻豆區,男,16565,21762
113,2,臺南市,麻豆區,女,16565,21248
113,2,臺南市,下營區,男,9360,11538
113,2,臺南市,下營區,女,9360,10833
113,2,臺南市,六甲區,男,8139,10914
113,2,臺南市,六甲區,女,8139,10256
113,2,臺南市,官田區,男,8268,10623
113,2,臺南市,官田區,女,8268,10197
113,2,臺南市,大內區,男,3629,4660
113,2,臺南市,大內區,女,3629,4036
113,2,臺南市,佳里區,男,21997,28696
113,2,臺南市,佳里區,女,21997,29557
113,2,臺南市,學甲區,男,9901,12632
113,2,臺南市,學甲區,女,9901,12011
113,2,臺南市,西港區,男,9100,12594
113,2,臺南市,西港區,女,9100,12403
113,2,臺南市,七股區,男,7916,10967
113,2,臺南市,七股區,女,7916,10225
113,2,臺南市,將軍區,男,7051,9272
113,2,臺南市,將軍區,女,7051,8919
113,2,臺南市,北門區,男,3994,5005
113,2,臺南市,北門區,女,3994,4954
113,2,臺南市,新化區,男,15342,21602
113,2,臺南市,新化區,女,15342,21125
113,2,臺南市,善化區,男,20797,26385
113,2,臺南市,善化區,女,20797,26201
113,2,臺南市,新市區,男,14044,18944
113,2,臺南市,新市區,女,14044,18784
113,2,臺南市,安定區,男,10906,15335
113,2,臺南市,安定區,女,10906,14539
113,2,臺南市,山上區,男,2753,3686
113,2,臺南市,山上區,女,2753,3314
113,2,臺南市,玉井區,男,5187,6703
113,2,臺南市,玉井區,女,5187,6298
113,2,臺南市,楠西區,男,3426,4580
113,2,臺南市,楠西區,女,3426,4095
113,2,臺南市,南化區,男,2777,4273
113,2,臺南市,南化區,女,2777,3694
113,2,臺南市,左鎮區,男,1831,2408
113,2,臺南市,左鎮區,女,1831,1803
113,2,臺南市,仁德區,男,30322,38831
113,2,臺南市,仁德區,女,30322,38553
113,2,臺南市,歸仁區,男,24617,34627
113,2,臺南市,歸仁區,女,24617,34137
113,2,臺南市,關廟區,男,11817,16991
113,2,臺南市,關廟區,女,11817,16234
113,2,臺南市,龍崎區,男,1462,1873
113,2,臺南市,龍崎區,女,1462,1575
113,2,臺南市,永康區,男,91396,115120
113,2,臺南市,永康區,女,91396,120115
113,2,臺南市,東　區,男,74453,86480
113,2,臺南市,東　區,女,74453,95478
113,2,臺南市,南　區,男,48391,59377
113,2,臺南市,南　區,女,48391,61659
113,2,臺南市,北　區,男,52636,61127
113,2,臺南市,北　區,女,52636,65365
113,2,臺南市,安南區,男,72289,101215
113,2,臺南市,安南區,女,72289,101022
113,2,臺南市,安平區,男,29029,32643
113,2,臺南市,安平區,女,29029,36618
113,2,臺南市,中西區,男,33358,37513
113,2,臺南市,中西區,女,33358,40437
113,2,高雄市,總計,男,1152005,1342179
113,2,高雄市,總計,女,1152005,1394837
113,2,高雄市,鹽埕區,男,10847,11045
113,2,高雄市,鹽埕區,女,10847,11497
113,2,高雄市,鼓山區,男,61373,67177
113,2,高雄市,鼓山區,女,61373,73631
113,2,高雄市,左營區,男,83818,93742
113,2,高雄市,左營區,女,83818,103757
113,2,高雄市,楠梓區,男,79471,94068
113,2,高雄市,楠梓區,女,79471,99129
113,2,高雄市,三民區,男,142510,158715
113,2,高雄市,三民區,女,142510,173026
113,2,高雄市,新興區,男,23593,23553
113,2,高雄市,新興區,女,23593,26034
113,2,高雄市,前金區,男,13917,12663
113,2,高雄市,前金區,女,13917,14472
113,2,高雄市,苓雅區,男,74410,77775
113,2,高雄市,苓雅區,女,74410,86100
113,2,高雄市,前鎮區,男,79822,87656
113,2,高雄市,前鎮區,女,79822,91937
113,2,高雄市,旗津區,男,10693,13355
113,2,高雄市,旗津區,女,10693,12769
113,2,高雄市,小港區,男,70344,76195
113,2,高雄市,小港區,女,70344,78766
113,2,高雄市,鳳山區,男,148417,173013
113,2,高雄市,鳳山區,女,148417,183177
113,2,高雄市,林園區,男,27390,34081
113,2,高雄市,林園區,女,27390,34051
113,2,高雄市,大寮區,男,44978,56805
113,2,高雄市,大寮區,女,44978,55235
113,2,高雄市,大樹區,男,14215,20561
113,2,高雄市,大樹區,女,14215,19850
113,2,高雄市,大社區,男,13566,17025
113,2,高雄市,大社區,女,13566,16643
113,2,高雄市,仁武區,男,40931,48999
113,2,高雄市,仁武區,女,40931,48607
113,2,高雄市,鳥松區,男,19768,22254
113,2,高雄市,鳥松區,女,19768,22136
113,2,高雄市,岡山區,男,36223,47045
113,2,高雄市,岡山區,女,36223,48487
113,2,高雄市,橋頭區,男,17478,20927
113,2,高雄市,橋頭區,女,17478,21000
113,2,高雄市,燕巢區,男,10980,15019
113,2,高雄市,燕巢區,女,10980,13675
113,2,高雄市,田寮區,男,3028,3590
113,2,高雄市,田寮區,女,3028,2900
113,2,高雄市,阿蓮區,男,9506,13743
113,2,高雄市,阿蓮區,女,9506,13643
113,2,高雄市,路竹區,男,17507,25431
113,2,高雄市,路竹區,女,17507,24824
113,2,高雄市,湖內區,男,11418,14960
113,2,高雄市,湖內區,女,11418,14566
113,2,高雄市,茄萣區,男,10701,14873
113,2,高雄市,茄萣區,女,10701,14306
113,2,高雄市,永安區,男,5836,6900
113,2,高雄市,永安區,女,5836,6958
113,2,高雄市,彌陀區,男,6877,9287
113,2,高雄市,彌陀區,女,6877,8949
113,2,高雄市,梓官區,男,13228,17793
113,2,高雄市,梓官區,女,13228,17010
113,2,高雄市,旗山區,男,13741,17545
113,2,高雄市,旗山區,女,13741,16684
113,2,高雄市,美濃區,男,15069,19393
113,2,高雄市,美濃區,女,15069,17508
113,2,高雄市,六龜區,男,5362,6266
113,2,高雄市,六龜區,女,5362,5391
113,2,高雄市,甲仙區,男,2281,2908
113,2,高雄市,甲仙區,女,2281,2611
113,2,高雄市,杉林區,男,4730,6001
113,2,高雄市,杉林區,女,4730,4918
113,2,高雄市,內門區,男,5091,7067
113,2,高雄市,內門區,女,5091,6054
113,2,高雄市,茂林區,男,626,930
113,2,高雄市,茂林區,女,626,966
113,2,高雄市,桃源區,男,1382,2209
113,2,高雄市,桃源區,女,1382,2021
113,2,高雄市,那瑪夏區,男,878,1610
113,2,高雄市,那瑪夏區,女,878,1549
113,2,宜蘭縣,總計,男,178921,225617
113,2,宜蘭縣,總計,女,178921,224007
113,2,宜蘭縣,宜蘭市,男,38367,46055
113,2,宜蘭縣,宜蘭市,女,38367,48911
113,2,宜蘭縣,羅東鎮,男,27047,32943
113,2,宜蘭縣,羅東鎮,女,27047,36981
113,2,宜蘭縣,蘇澳鎮,男,14522,18916
113,2,宜蘭縣,蘇澳鎮,女,14522,18426
113,2,宜蘭縣,頭城鎮,男,10743,14503
113,2,宜蘭縣,頭城鎮,女,10743,13740
113,2,宜蘭縣,礁溪鄉,男,15063,18077
113,2,宜蘭縣,礁溪鄉,女,15063,16901
113,2,宜蘭縣,壯圍鄉,男,9570,12695
113,2,宜蘭縣,壯圍鄉,女,9570,11636
113,2,宜蘭縣,員山鄉,男,12586,16908
113,2,宜蘭縣,員山鄉,女,12586,15228
113,2,宜蘭縣,冬山鄉,男,20869,26880
113,2,宜蘭縣,冬山鄉,女,20869,26385
113,2,宜蘭縣,五結鄉,男,16677,20843
113,2,宜蘭縣,五結鄉,女,16677,20239
113,2,宜蘭縣,三星鄉,男,9332,11464
113,2,宜蘭縣,三星鄉,女,9332,9776
113,2,宜蘭縣,大同鄉,男,2033,3229
113,2,宜蘭縣,大同鄉,女,2033,2786
113,2,宜蘭縣,南澳鄉,男,2112,3104
113,2,宜蘭縣,南澳鄉,女,2112,2998
113,2,新竹縣,總計,男,221704,300343
113,2,新竹縣,總計,女,221704,289749
113,2,新竹縣,竹北市,男,82519,107442
113,2,新竹縣,竹北市,女,82519,109013
113,2,新竹縣,關西鎮,男,9440,14366
113,2,新竹縣,關西鎮,女,9440,12374
113,2,新竹縣,新埔鎮,男,12416,17652
113,2,新竹縣,新埔鎮,女,12416,15580
113,2,新竹縣,竹東鎮,男,36818,48902
113,2,新竹縣,竹東鎮,女,36818,48293
113,2,新竹縣,湖口鄉,男,31460,41786
113,2,新竹縣,湖口鄉,女,31460,41029
113,2,新竹縣,橫山鄉,男,4380,6534
113,2,新竹縣,橫山鄉,女,4380,5620
113,2,新竹縣,新豐鄉,男,21133,30196
113,2,新竹縣,新豐鄉,女,21133,28809
113,2,新竹縣,芎林鄉,男,7510,10774
113,2,新竹縣,芎林鄉,女,7510,9606
113,2,新竹縣,寶山鄉,男,6131,7859
113,2,新竹縣,寶山鄉,女,6131,6656
113,2,新竹縣,北埔鄉,男,3090,4666
113,2,新竹縣,北埔鄉,女,3090,3830
113,2,新竹縣,峨眉鄉,男,2090,2828
113,2,新竹縣,峨眉鄉,女,2090,2339
113,2,新竹縣,尖石鄉,男,2958,4934
113,2,新竹縣,尖石鄉,女,2958,4561
113,2,新竹縣,五峰鄉,男,1759,2404
113,2,新竹縣,五峰鄉,女,1759,2039
113,2,苗栗縣,總計,男,200002,274718
113,2,苗栗縣,總計,女,200002,259522
113,2,苗栗縣,苗栗市,男,33255,42809
113,2,苗栗縣,苗栗市,女,33255,43497
113,2,苗栗縣,頭份市,男,39833,53526
113,2,苗栗縣,頭份市,女,39833,52993
113,2,苗栗縣,苑裡鎮,男,15566,22790
113,2,苗栗縣,苑裡鎮,女,15566,20912
113,2,苗栗縣,通霄鎮,男,11515,16561
113,2,苗栗縣,通霄鎮,女,11515,14664
113,2,苗栗縣,竹南鎮,男,33708,45160
113,2,苗栗縣,竹南鎮,女,33708,44686
113,2,苗栗縣,後龍鎮,男,12305,17941
113,2,苗栗縣,後龍鎮,女,12305,16093
113,2,苗栗縣,卓蘭鎮,男,5765,7922
113,2,苗栗縣,卓蘭鎮,女,5765,7219
113,2,苗栗縣,大湖鄉,男,5136,6913
113,2,苗栗縣,大湖鄉,女,5136,5995
113,2,苗栗縣,公館鄉,男,10976,16200
113,2,苗栗縣,公館鄉,女,10976,14980
113,2,苗栗縣,銅鑼鄉,男,6135,8741
113,2,苗栗縣,銅鑼鄉,女,6135,7729
113,2,苗栗縣,南庄鄉,男,3794,4874
113,2,苗栗縣,南庄鄉,女,3794,3938
113,2,苗栗縣,頭屋鄉,男,3645,5170
113,2,苗栗縣,頭屋鄉,女,3645,4571
113,2,苗栗縣,三義鄉,男,5631,7905
113,2,苗栗縣,三義鄉,女,5631,6994
113,2,苗栗縣,西湖鄉,男,2575,3498
113,2,苗栗縣,西湖鄉,女,2575,2721
